,0
1984-01-01,58930.0
1985-01-01,60050.0
1986-01-01,62280.0
1987-01-01,63060.0
1988-01-01,63530.0
1989-01-01,64610.0
1990-01-01,63830.0
1991-01-01,61960.0
1992-01-01,61450.0
1993-01-01,61150.0
1994-01-01,61800.0
1995-01-01,63770.0
1996-01-01,64710.0
1997-01-01,66050.0
1998-01-01,68470.0
1999-01-01,70210.0
2000-01-01,70020.0
2001-01-01,68870.0
2002-01-01,68310.0
2003-01-01,68350.0
2004-01-01,68250.0
2005-01-01,69310.0
2006-01-01,70080.0
2007-01-01,71210.0
2008-01-01,68780.0
2009-01-01,68340.0
2010-01-01,66730.0
2011-01-01,65750.0
2012-01-01,65740.0
2013-01-01,68220.0
2014-01-01,67360.0
2015-01-01,71000.0
2016-01-01,73520.0
2017-01-01,74810.0
2018-01-01,75790.0
2019-01-01,81210.0
2020-01-01,79560.0
2021-01-01,79260.0
2022-01-01,77540.0
2023-01-01,80610.0
